# GENERATED by build/select_foods.py -- do not edit by hand.
# Family tags derived from each food's USDA description, so that search by
# family works for the bulk-imported foods too. Hand-written entries in
# aliases.txt take precedence over anything here.
# slug | (no alternative names) | tags
barleymaltflour||cereal,grain
oatflourpartiallydebranned||cereal,grain
ricenoodles||cereal,grain
cornflourwholegrainwhite||cereal,grain
cornflouryellowmasaenriched||cereal,grain
cornmealwholegrainwhite||cereal,grain
wheatflourwhiteallpurposeenr3||cereal,grain
noodleseggunenriched||grain
ricewhitemediumgrainunenrich||cereal,grain
wheatflourwhiteallpurposeune||cereal,grain
cornandcanolaoil||cereal,fat,grain,oil
mammyapplemamey||fruit
oheloberries||berry,fruit
orangescaliforniavalencias||citrus,fruit
orangesnavels||citrus,fruit
orangesflorida||citrus,fruit
orangeswithpeel||citrus,fruit
tangerinejuice||citrus,fruit
peachessulfured||fruit
mungbeanssprouted||legume,pulse,seed
chicoryroots||leafy green,root
onionswelsh||allium
onionssweet||allium
potatoesrussetfleshandskin||nightshade
potatoeswhitefleshandskin||nightshade
potatoesredfleshandskin||nightshade
potatoesskin||nightshade
turnipgreens||brassica,cruciferous,leafy green
waxgourdchinesepreservingmel||cucurbit,gourd,melon
wingedbeantuber||legume,pulse,root
radisheswhiteicicle||brassica,cruciferous
beanspintosprouted||legume,pulse,seed
radishseedssprouted||brassica,cruciferous,seed
tomatoesyellow||nightshade
breadfruitseeds||nut,seed
cottonseedflourlowfatglandle||cereal,grain,nut,seed
cottonseedmealpartiallydefat||nut,seed
sesameflourpartiallydefatted||cereal,grain,nut,seed
sunflowerseedflourpartiallyd||cereal,grain,nut,seed
acorns||cereal,grain,nut
chestnutschinese||nut
chestnutseuropeanpeeled||nut
coconutmeatdrieddesiccatedno||nut
coconutmilkrawliquidexpresse||dairy,nut
ginkgonuts||nut
walnutsblack||nut
sesamebutterpaste||nut,seed
sesameflourhighfat||cereal,grain,nut,seed
barleypearled||cereal,grain
cornflourwholegrainyellow||cereal,grain
broadbeans||legume,pulse,seed
peassprouted||legume,pulse,seed
pokeberryshootspoke||berry
tomatoesgreen||nightshade
tomatopowder||nightshade
vinespinachbasella||leafy green
wingedbeanleaves||leafy green,legume,pulse
squashsummerallvarieties||cucurbit,gourd
